id,nafis_raw_id,nafis_price_date,county,town,variety,commodity,unit,kg,code,rowno,price,average,max,min,price_date
8437,275,2011-12-09,Kisii,Kisii,HORTICULTURE,Tomatoes,Lg Box,64,32,30,3500,3040,4200,1800,09/12/2011
8438,276,2011-12-09,Kisii,Kisii,HORTICULTURE,Onions Dry,net,13,22,31,550,584,850,364,09/12/2011
8439,277,2011-12-09,Kisii,Kisii,HORTICULTURE,Spring Onions,Bag,142,23,32,900,1125,900,1400,09/12/2011
8440,278,2011-12-09,Kisii,Kisii,HORTICULTURE,Chillies,Bag,38,11,33,2337,2337,700,1520,09/12/2011
8441,279,2011-12-09,Kisii,Kisii,HORTICULTURE,Cucumber,Bag,50,14,34,1625,1625,2000,1250,09/12/2011
8442,280,2011-12-09,Kisii,Kisii,HORTICULTURE,Capsicums,Bag,50,12,35,1872,1872,900,1000,09/12/2011
8443,281,2011-12-09,Kisii,Kisii,HORTICULTURE,Brinjals,Bag,44,8,36,1113,1113,900,1250,09/12/2011
8444,282,2011-12-09,Kisii,Kisii,HORTICULTURE,Cauliflower,crate,39,10,37,2180,2180,2800,1560,09/12/2011
8445,283,2011-12-09,Kisii,Kisii,HORTICULTURE,Lettuce,Bag,51,17,38,2693,2693,4080,1000,09/12/2011
8446,284,2011-12-09,Kisii,Kisii,HORTICULTURE,Passion Fruits,Bag,57,25,39,3420,3271,4560,1140,09/12/2011
8447,285,2011-12-09,Kisii,Kisii,HORTICULTURE,Oranges,Bag,93,24,40,3400,2689,3400,2200,09/12/2011
8448,289,2011-12-09,Kisii,Kisii,HORTICULTURE,Limes,net,13,18,44,580,580,700,500,09/12/2011
8449,286,2011-12-09,Kisii,Kisii,HORTICULTURE,Lemons,Bag,95,16,41,2900,1601,900,1400,09/12/2011
8450,287,2011-12-09,Kisii,Kisii,HORTICULTURE,Mangoes Local,Bag,126,21,42,1769,1769,650,1800,09/12/2011
8451,288,2011-12-09,Kisii,Kisii,HORTICULTURE,Mangoes Ngowe,Sm Basket,25,36,43,597,597,800,450,09/12/2011
8452,290,2011-12-09,Kisii,Kisii,HORTICULTURE,Pineapples,Dozen,12.8000002,28,45,500,613,650,1080,09/12/2011
